id,address,lat,lng
50,"1625 S Santa Fe Ave, Chanute, KS 66720 USA",37.66387,-95.453
51,"910 E Chicago St, Coldwater, MI 49036 USA",41.9334,-84.9624
52,"7337 N Alger Rd, Alma, MI 48801 USA",43.39821,-84.6675
53,"3407 S US Highway 41, Terre Haute, IN 47802 USA",39.42645,-87.4171
54,"110 S State Highway 167, Hartford, AL 36344 USA",31.096,-85.7089
55,"1851 W Laurel Ave, Eunice, LA 70535 USA",30.49452,-92.4351
56,"108 Highway 28 Byp, Anderson, SC 29624 USA",34.47467,-82.6524
57,"840 Bellefonte Ave, Lock Haven, PA 17745 USA",41.13104,-77.4615
58,"975 Bloomfield Rd, Bardstown, KY 40004 USA",37.82455,-85.4381
59,"8825 Highway # 2830, Maceo, KY 42355 USA",37.85927,-86.9999
60,"1101 Nm 68 S, Velarde, NM 87582 USA",36.13277,-106.001
61,"1015 N College Ave, Snyder, TX 79549 USA",32.74873,-100.919
62,"513 W Wanda Jackson Blvd, Maud, OK 74854 USA",35.12985,-96.7683
63,"345 E Main St, Gouverneur, NY 13642 USA",44.34001,-75.4563
64,"4084 U S Highway 49, Hattiesburg, MS 39401 USA",31.19475,-89.254
65,"305 W 2nd St, Sand Springs, OK 74063 USA",36.13874,-96.1151
66,"4328 State Route 147, Herndon, PA 17830 USA",40.68675,-76.8296
67,"10230 US Highway 70 E, Mc Ewen, TN 37101 USA",36.10489,-87.6222
68,"1107 W Broadway St, Monticello, IN 47960 USA",40.74455,-86.7818
69,"111 N A, Tatum, NM 88267 USA",33.25706,-103.318
70,"2904 11th St, Rock Island, IL 61201 USA",41.48145,-90.5834
71,"3198 Old 63 N, Lucedale, MS 39452 USA",31.00039,-88.5382
72,"339 S Main St, Leitchfield, KY 42754 USA",37.47572,-86.2937
73,"5075 Old Mill Rd, Brandenburg, KY 40108 USA",37.93298,-86.0564
74,"704 N Highway 95, Little River Academy, TX 76554 USA",30.98752,-97.3412
75,"939 Route 1, Yarmouth, ME 04096 USA",43.8059,-70.1705
76,"511 Duanesburg Rd, Rotterdam, NY 12306 USA",42.7866,-73.9977
77,"511 Duanesburg Rd, Schenectady, NY 12306 USA",42.78665,-73.9977
78,"3317 Agency St, Burlington, IA 52601 USA",40.81445,-91.1436
79,"3029 E Kalamazoo St, Lansing, MI 48912 USA",42.73008,-84.5147
80,"59 W Washington Ave, Zeeland, MI 49464 USA",42.81435,-86.0208
81,"2009 Buckley Hall Rd, Cobbs Creek, VA 23035 USA",37.49607,-76.4116
82,"1180 Homer Rd, Minden, LA 71055 USA",32.624,-93.2541
83,"322 W Hill St, Spur, TX 79370 USA",33.48214,-100.856
84,"1215 Washington Blvd, Belpre, OH 45714 USA",39.27416,-81.5846
85,"1643 Armory Dr, Franklin, VA 23851 USA",36.66626,-76.9564
86,"55 W Pioneer Rd, Fond du Lac, WI 54935 USA",43.75559,-88.451
87,"105 Williams Blvd, Fairfax, IA 52228 USA",41.92538,-91.7844
88,"193 Endicott St N, Laconia, NH 03246 USA",43.60592,-71.4639
89,"695 Furys Ferry Rd, Martinez, GA 30907 USA",33.55052,-82.0895
90,"695 Furys Ferry Rd, Augusta, GA 30907 USA",33.55052,-82.0895
91,"4030 Gateway Blvd, Grovetown, GA 30813 USA",33.47941,-82.1958
92,"703 North Thompson Ave, Iowa, LA 70647 USA",30.24667,-93.0142
93,"12825 Catlin Tilton Rd, Catlin, IL 61817 USA",40.07224,-87.6979
94,"4825 Front St, Brookshire, TX 77423 USA",29.78567,-95.9653
95,"5102 N Navarro St, Victoria, TX 77904 USA",28.84199,-97.0001
96,"1208 N Desloge Dr, Desloge, MO 63601 USA",37.88056,-90.5105
97,"2639 N Main St, Danville, VA 24540 USA",36.62246,-79.3844
98,"811 N 1st Ave, Durant, OK 74701 USA",33.99836,-96.3741
99,"1150 US 10 E, Staples, MN 56479 USA",46.35388,-94.7845
100,"11653 E 86th St N, Owasso, OK 74055 USA",36.27917,-95.8441
101,"1447 W Chicago Blvd, Tecumseh, MI 49286 USA",42.00694,-83.9689
102,"3045 W Beech Ave, Duncan, OK 73533 USA",34.50752,-97.9853
103,"714 Highland Ave, Vine Grove, KY 40175 USA",37.81835,-85.9671
104,"4715 24th Ave, Lakeport, MI 48059 USA",43.04418,-82.4595
105,"4715 24th Ave, Fort Gratiot, MI 48059 USA",43.04418,-82.4595
106,"410 N State Highway 22, Cecil, WI 54111 USA",44.80608,-88.4574
107,"1515 Central Ave, Chattanooga, TN 37408 USA",35.03132,-85.2969
108,"566 Thomas Creek Dr, Newark, AR 72562 USA",35.70272,-91.4536
109,"4035 Halifax Rd, South Boston, VA 24592 USA",36.73987,-78.9211
110,"1597 Cipolla Rd, Fruita, CO 81521 USA",39.16356,-108.758
111,"Star Plaza S Us 83 East, Rio Grand City, TX 78582 USA",26.37683,-98.8133
112,"1528 Main St, Parsons, KS 67357 USA",37.34,-95.2586
113,"43103 S Airport Rd, Hammond, LA 70403 USA",30.48203,-90.4151
114,"7255 E State Route 37, Sunbury, OH 43074 USA",40.2673,-82.9326
115,"3100 E Center Street Ext, Warsaw, IN 46582 USA",41.24007,-85.8151
116,"101 Commerce Dr, Brockway, MI 48097 USA",43.12059,-82.7904
117,"2101 E Wabash St, Frankfort, IN 46041 USA",40.27868,-86.4866
118,"3900 Kermit Hwy, Odessa, TX 79764 USA",31.87384,-102.415
119,"797 Lakeland Place, Flowood, MS 39232 USA",32.35447,-90.0193
120,"11133 Kingston Pike, Knoxville, TN 37934 USA",35.88732,-84.1504
121,"5020 Whelan Dr, Lake Havasu City, AZ 86404 USA",34.55521,-114.35
122,"30 Plaza Heights Rd, West Lebanon, NH 03784 USA",43.62517,-72.318
123,"496 E Pine Log Rd, Aiken, SC 29803 USA",33.5278,-81.7076
124,"1356 Sunset Dr, Grenada, MS 38901 USA",33.77991,-89.8274
125,"5440 NW 86th St, Johnston, IA 50131 USA",41.65935,-93.7365
126,"1906 N Walnut St, Hartford City, IN 47348 USA",40.46738,-85.3696
127,"1917 Roane State Hwy, Harriman, TN 37748 USA",35.89077,-84.5468
128,"10133 Main St, Whitesville, KY 42378 USA",37.68396,-86.8699
129,"35738 US Highway 50, Londonderry, OH 45647 USA",39.26618,-82.7898
130,"65 Mount Auburn Ave, Auburn, ME 04210 USA",44.122,-70.2349
131,"100 N Camellia Blvd, Fort Valley, GA 31030 USA",32.55423,-83.8851
132,"1187 Highway 49 S, Richland, MS 39218 USA",32.24192,-90.1653
133,"18300 Pemberville Rd, Pemberville, OH 43450 USA",41.41827,-83.4537
134,"211 W Main St, Glenbeulah, WI 53023 USA",43.79675,-88.0501
135,"307 Fairfield Ave # 11, Johnstown, PA 15906 USA",40.34491,-78.9504
136,"4218 Ruby Vista Dr, Elko, NV 89801 USA",40.86784,-115.734
137,"2351 S 9th St, Salina, KS 67401 USA",38.79935,-97.6118
138,"1118 N Carbon St, Marion, IL 62959 USA",37.73944,-88.9485
139,"1412 Main St, Columbus, MS 39701 USA",33.49641,-88.4156
140,"1553 N Dixie Hwy, Monroe, MI 48162 USA",41.92873,-83.3538
141,"484 Piney Pond Rd, Brodnax, VA 23920 USA",36.706,-78.0327
142,"2121 N Parkerson Ave, Crowley, LA 70526 USA",30.23079,-92.3833
143,"508 W Main St, Gaylord, MI 49735 USA",45.0277,-84.6802
144,"2514 Amnicola Hwy, Chattanooga, TN 37406 USA",35.07275,-85.2683
145,"1408 Hwy 67, Tuckerman, AR 72473 USA",35.71405,-91.2102
146,"100 County 1 W, Pine River, MN 56474 USA",46.71802,-94.4042
147,"513 University Pl, Durant, OK 74701 USA",34.0015,-96.4107
148,"1818 W Broadway St, Van Horn, TX 79855 USA",31.03813,-104.856
149,"2500 W Magnolia Blvd, Burbank, CA 91505 USA",34.17189,-118.335
150,"1207 Augusta Rd, Warrenville, SC 29851 USA",33.54884,-81.8105
151,"2715 S MacArthur Dr, Alexandria, LA 71301 USA",31.26932,-92.4586
152,"373 Highway # 49, Marvell, AR 72366 USA",34.55781,-90.9077
153,"408 S Highway 60, Marionville, MO 65705 USA",36.99423,-93.6325
154,"136 S Locust St, Oak Harbor, OH 43449 USA",41.50568,-83.1445
155,"17809 Batesville Pike, Sherwood, AR 72120 USA",34.88352,-92.2365
156,"216 Oak Ave, Hoxie, KS 67740 USA",39.35713,-100.451
157,"250 S Main St, Woodruff, SC 29388 USA",34.73765,-82.0362
158,"3425 N Woodruff Rd, Weidman, MI 48893 USA",43.68922,-84.9691
159,"721 E Jefferson Ave, Richland, MO 65556 USA",37.85881,-92.3871
160,"5129 Highway 80, Morton, MS 39117 USA",32.35241,-89.6487
161,"2335 E Market St, Harrisonburg, VA 22801 USA",38.42112,-78.8384
162,"901 Murray Olds Dr, Midlothian, VA 23114 USA",37.50275,-77.6169
163,"2120 W FM 1626, Manchaca, TX 78652 USA",30.13459,-97.8539
164,"15 Main St, Keene, NH 03431 USA",42.93318,-72.2788
165,"1110 S 25th St, Bethany, MO 64424 USA",40.25849,-94.0278
166,"1104 S 25th St, Bethany, MO 64424 USA",40.25851,-94.028
167,"3633 Veterans Blvd., Metairie, LA 70002 USA",30.00442,-90.1633
168,"7040 Highway 1, Mansura, LA 71350 USA",31.10051,-92.0618
169,"117 State Route 3, Sunbury, OH 43074 USA",40.24514,-82.8666
170,"911 S Union St, Opelousas, LA 70570 USA",30.52515,-92.0816
171,"1475 W Main St, Livingston, TN 38570 USA",36.37108,-85.3405
172,"1540 W Government St, Brandon, MS 39042 USA",32.2842,-90.023
173,"84 Bay St, Glens Falls, NY 12801 USA",43.31429,-73.6481
174,"1960 Veterans Memorial Blvd, Eupora, MS 39744 USA",33.52592,-89.2594
175,"200 E Airline Hwy, La Place, LA 70068 USA",30.06478,-90.4788
176,"8422 Business 77, Lyford, TX 78569 USA",26.38366,-97.7914
177,"11356 County Road 2, Middlebury, IN 46540 USA",41.7545,-85.6865
178,"3413 10th St, Great Bend, KS 67530 USA",38.36137,-98.7858
179,"500 N Jackson St, Lexington, NE 68850 USA",40.77805,-99.7383
180,"18405 US Highway 50, Cimarron, KS 67835 USA",37.80573,-100.334
181,"4091 James Madison Hwy, Fork Union, VA 23055 USA",37.75586,-78.2704
182,"1425 W Mequon Rd, Thiensville, WI 53092 USA",43.22077,-87.9265
183,"1425 W Mequon Rd, Mequon, WI 53092 USA",43.22077,-87.9265
184,"2055 1st Ave N, Windom, MN 56101 USA",43.87822,-95.1104
185,"1705 Lockwood St, Tahoka, TX 79373 USA",33.16597,-101.799
186,"219 Louisa St, Warrior, AL 35180 USA",33.81173,-86.8105
187,"1320 Clay St, Vicksburg, MS 39183 USA",32.34885,-90.8743
188,"11550 Harter Dr, Middlebury, IN 46540 USA",41.74351,-85.6902
189,"591 Highway 183, Piedmont, SC 29673 USA",34.76698,-82.471
190,"3005 Centennial Blvd, Claremont, NC 28610 USA",35.72062,-81.1558
191,"14963 Edgewood Dr, Baxter, MN 56425 USA",46.36863,-94.2454
192,"75 Leeman Hwy, Bath, ME 04530 USA",43.91056,-69.8222
193,"2921 Center Ave, Essexville, MI 48732 USA",43.59527,-83.8463
194,"2775 Port Sheldon St, Jenison, MI 49428 USA",42.88819,-85.8511
195,"2110 N Washington St, Forrest City, AR 72335 USA",35.02964,-90.7889
196,"2712 W Deyoung St, Marion, IL 62959 USA",37.74346,-88.9683
197,"917 N Cass St, Wabash, IN 46992 USA",40.81112,-85.8337
198,"28691 Us Hwy 70, Tinnie, NM 88351 USA",33.37256,-105.246
199,"6553 Main St, Cass City, MI 48726 USA",43.60118,-83.173
200,"485 Waquoit Hwy, East Falmouth, MA 02536 USA",41.58732,-70.5169
201,"485 Waquoit Hwy, Waquoit, MA 02536 USA",41.58732,-70.5169
202,"1000 SW Railroad Ave, Hammond, LA 70403 USA",30.49504,-90.459
203,"14867 Forest Rd, Forest, VA 24551 USA",37.36608,-79.296
204,"102 E Philip Ave, North Platte, NE 69101 USA",41.1256,-100.763
205,"2001 N Prince St, Clovis, NM 88101 USA",34.41826,-103.195
206,"3580 Oakwood Blvd, Melvindale, MI 48122 USA",42.28161,-83.1821
207,"69199 M 62, Edwardsburg, MI 49112 USA",41.79387,-86.082
208,"16995 FM 1314 Rd, Conroe, TX 77302 USA",30.20525,-95.3524
209,"3242 Albert Pike Rd, Hot Springs, AR 71913 USA",34.50663,-93.1292
210,"506 E Tuskeena St, Hayneville, AL 36040 USA",32.18442,-86.5721
211,"809 S Alamo St, Refugio, TX 78377 USA",28.29662,-97.2765
212,"9299 State Route 30, Irwin, PA 15642 USA",40.32269,-79.6964
213,"12674 Route 19 S, Waterford, PA 16441 USA",41.93542,-79.9816
214,"1076 Lake Murray Blvd, Irmo, SC 29063 USA",34.08871,-81.1777
215,"309 E 9th St, Peabody, KS 66866 USA",38.17492,-97.103
216,"1191 Cherokee Dr, Marshall, MO 65340 USA",39.10734,-93.2143
217,"1300 Southeast Blvd, Morgan City, LA 70380 USA",29.68459,-91.2623
218,"21761 S Highway 69, Afton, OK 74331 USA",36.70558,-94.9316
219,"1868 Washington Rd, Thomson, GA 30824 USA",33.50702,-82.5023
220,"808 N Lawson Blvd, Clayton, OK 74536 USA",34.59533,-95.3468
221,"1000 Liberty Park Dr, Hurricane, WV 25526 USA",38.45641,-81.926
222,"127 68th Ave S, Coopersville, MI 49404 USA",43.05806,-85.9577
223,"2511 Moody Pkwy, Moody, AL 35004 USA",33.5821,-86.5068
224,"2944 Interstate 45 N, Conroe, TX 77303 USA",30.34628,-95.4819
225,"200 Brevco Plz Ste 208, Lake Saint Louis, MO 63367 USA",38.80347,-90.7847
226,"200 Brevco Plz Ste 207, Lake Saint Louis, MO 63367 USA",38.80362,-90.7847
227,"202 Brevco Plz, Lake St Louis, MO 63367 USA",38.80361,-90.7844
228,"200 Brevco Plz, Lake Saint Louis, MO 63367 USA",38.80362,-90.7847
229,"Swc Alabama 27 &County Rd 636, Enterprise, AL 36330 USA",31.25476,-85.9644
230,"1000 Charleston Ave, Mattoon, IL 61938 USA",39.48182,-88.3661
231,"300 W Main St, Antlers, OK 74523 USA",34.23129,-95.6248
232,"1033 Elm St, Hopewell, VA 23860 USA",37.29255,-77.2972
233,"1011 E Pine Log Rd, Aiken, SC 29803 USA",33.53511,-81.6934
234,"1623 Highway 25B, Heber Springs, AR 72543 USA",35.50868,-92.029
235,"340 8th Ave NE, Cairo, GA 39828 USA",30.88597,-84.2048
236,"10109 Lincoln Hwy, Everett, PA 15537 USA",40.02633,-78.4462
237,"810 Sh 147, Broaddus, TX 75929 USA",31.3048,-94.2708
238,"2151 Clary Connector, Eastanollee, GA 30538 USA",34.54045,-83.2698
239,"4640 Stewartsville Rd, Moneta, VA 24121 USA",37.24005,-79.6171
240,"114 S Broad St, Buena Vista, GA 31803 USA",32.3164,-84.518
241,"344 S College St, Harrodsburg, KY 40330 USA",37.75919,-84.8464
242,"811 W Pike St, Clarksburg, WV 26301 USA",39.28219,-80.3507
243,"810 Pershing Hwy, Jonesboro, LA 71251 USA",32.25443,-92.7225
244,"901 S Saint Marys St, Saint Marys, PA 15857 USA",41.40803,-78.56
245,"1675 W Main St, Monteagle, TN 37356 USA",35.23878,-85.8508
246,"117 Ready Mix Rd, Wytheville, VA 24382 USA",36.93599,-80.9949
247,"217 Washington Ave, Endicott, NY 13760 USA",42.09926,-76.0476
248,"3689 N Vermilion St, Danville, IL 61832 USA",40.18908,-87.6275
249,"2291 S MacArthur Dr, Alexandria, LA 71301 USA",31.27355,-92.4644
250,"1016 Bill Tuck Hwy, South Boston, VA 24592 USA",36.68702,-78.8985
251,"1352 W Main St, Gaylord, MI 49735 USA",45.02787,-84.6957
252,"292A W Beacon St, Philadelphia, MS 39350 USA",32.77132,-89.1236
253,"414 Broadway St, Maud, TX 75567 USA",33.33308,-94.3459
254,"1505 Main St E, Hartselle, AL 35640 USA",34.44997,-86.9078
255,"19771 Rick Jones Way, Butte, MT 59750 USA",45.97175,-112.69
256,"11538 Danville Hwy, Gravel Switch, KY 40328 USA",37.59107,-85.0486
257,"409 W Franklin St, Pomona, KS 66076 USA",38.60902,-95.458
258,"908 Rucker Blvd, Enterprise, AL 36330 USA",31.3231,-85.8288
259,"12 Main St, Gray, ME 04039 USA",43.8866,-70.3287
260,"1798 E State Road 163, Clinton, IN 47842 USA",39.65704,-87.4292
261,"219 Brandilynn Blvd, Cedar Falls, IA 50613 USA",42.4867,-92.4437
262,"701 E Avenue J, Robstown, TX 78380 USA",27.79902,-97.6586
263,"870 Campbellsville Rd, Greensburg, KY 42743 USA",37.27242,-85.494
264,"707 W Shawntel Smith Blvd, Muldrow, OK 74948 USA",35.40044,-94.608
265,"34230 US Highway 264, Engelhard, NC 27824 USA",35.51041,-76.0129
266,"1329 S Brundidge St, Troy, AL 36081 USA",31.78789,-85.9647
267,"1327 S Brundidge St, Troy, AL 36081 USA",31.78739,-85.9655
268,"691 Main St, Calais, ME 04619 USA",45.18426,-67.267
269,"405 W Main St, La Farge, WI 54639 USA",43.57418,-90.6404
270,"2482 Tittabawassee Rd, Saginaw, MI 48604 USA",43.4803,-83.9652
271,"117 Main St, East Millinocket, ME 04430 USA",45.62761,-68.5808
272,"510 W Main St, Manchester, MI 48158 USA",42.14718,-84.0463
273,"8544 E Lansing Rd, Durand, MI 48429 USA",42.9248,-83.9966
274,"3237 Sixes Rd, Canton, GA 30114 USA",34.17159,-84.5477
275,"21633 Jeb Stuart Highway, Stuart, VA 24171 USA",36.63537,-80.2062
276,"106 Felicia Campbell Rd, Lucedale, MS 39452 USA",30.9664,-88.6628
277,"3209 Georgia St, Louisiana, MO 63353 USA",39.43488,-91.07
278,"7686 Highway 1, Mansura, LA 71350 USA",31.08348,-92.0572
279,"1003 W Baltimore St, McMechen, WV 26040 USA",39.98719,-80.733
280,"3165 S McKenzie St, Foley, AL 36535 USA",30.36719,-87.6801
281,"1502 S Central Ave, Marshfield, WI 54449 USA",44.65465,-90.1827
282,"345 Highway 84 W, Brookhaven, MS 39601 USA",31.53469,-90.5
283,"7255 Booker T Washington Hwy, Wirtz, VA 24184 USA",37.10617,-79.8157
284,"501 E Houghton Ave, West Branch, MI 48661 USA",44.27668,-84.2265
285,"1884 N Columbia St, Milledgeville, GA 31061 USA",33.10484,-83.2517
286,"250 Lapalco Blvd, Gretna, LA 70056 USA",29.88168,-90.0262
287,"3060 East Ave, Central Square, NY 13036 USA",43.28803,-76.1321
288,"611 4th St NW, Montgomery, MN 56069 USA",44.44585,-93.5836
289,"1109 Highway 321 N, Lenoir City, TN 37771 USA",35.82792,-84.2773
290,"800 Main St, Presque Isle, ME 04769 USA",46.69889,-68.0102
291,"114 Fisherville Rd, Concord, NH 03303 USA",43.25965,-71.5804
292,"4168 Franklin Tpke, Danville, VA 24540 USA",36.67673,-79.4194
293,"3200 8th St S, Wisconsin Rapids, WI 54494 USA",44.36541,-89.8181
294,"8229 Mahan Gap Rd, Ooltewah, TN 37363 USA",35.17504,-85.0279
295,"100 Dennison Ln, Louisa, KY 41230 USA",38.11425,-82.6032
296,"226 Liberty St, Penn Yan, NY 14527 USA",42.6602,-77.0565
297,"222 W High St, Hicksville, OH 43526 USA",41.29137,-84.7667
298,"15563 Highland Dr, Mc Kenzie, TN 38201 USA",36.12688,-88.514
299,"7 White Mountain Hwy, Conway, NH 03818 USA",43.97922,-71.1163
300,"108 U.S. 90, Brackettville, TX 78832 USA",29.30984,-100.419
301,"3565 Richland Ave W, Aiken, SC 29801 USA",33.56345,-81.7638
302,"3205 Route 22, Dover Plains, NY 12522 USA",41.74325,-73.5836
303,"1749 Highway 19 N, Thomaston, GA 30286 USA",32.94274,-84.335
304,"1821 S Alamo Rd, Edinburg, TX 78542 USA",26.27676,-98.108
305,"109 S Lee St, Hampton, AR 71744 USA",33.53726,-92.4692
306,"721 S Walnut St, Bernie, MO 63822 USA",36.66005,-89.9699
307,"19583 Highway 79, Gadsden, TN 38337 USA",35.77191,-89.0006
308,"3641 Highway 30, Lonedell, MO 63060 USA",38.30949,-90.8337
309,"6700 State Rd, Saline, MI 48176 USA",42.19146,-83.7393
310,"303 E 1st St, Granite, OK 73547 USA",34.95796,-99.3575
311,"395 John R Junkin Dr, Natchez, MS 39120 USA",31.54187,-91.4011
312,"901 McKinney Blvd, Colonial Beach, VA 22443 USA",38.25465,-76.9743
313,"828 Highway 33, Pelham, AL 35124 USA",34.30923,-87.3419
314,"672 State Road 76, Chimayo, NM 87522 USA",36.00515,-105.956
315,"4900 Clyde Morris Blvd, Port Orange, FL 32129 USA",29.11798,-81.0239
316,"690 Main St, South Portland, ME 04106 USA",43.61926,-70.306
317,"614 Central Ave W, Wiggins, MS 39577 USA",30.8514,-89.1437
318,"27050 Mo Highway 133, Richland, MO 65556 USA",37.85698,-92.4043
319,"17 Highway 11 South, Beattyville, KY 41311 USA",37.56875,-83.7071
320,"5676 County Road 203, Rehobeth, AL 36301 USA",31.12598,-85.4489
321,"3003 Bridgewater Landing Drive, Hamilton, OH 45011 USA",39.39183,-84.5143
322,"2002 Highway 82 W, Greenwood, MS 38930 USA",33.52805,-90.218
323,"704 Highway 59 N, Heavener, OK 74937 USA",34.91189,-94.609
324,"183 Main St, Windsor, VT 05089 USA",43.47591,-72.3876
325,"209 E Greene St, Monticello, GA 31064 USA",33.30446,-83.6819
326,"345 E Walton St, Willard, OH 44890 USA",41.0431,-82.7208
327,"5906 Highway 494, Little Rock, MS 39337 USA",32.52636,-89.0259
328,"7720 Highway 62, Pollard, AR 72456 USA",36.42895,-90.2743
329,"2203 Demere Rd, Saint Simons Island, GA 31522 USA",31.15958,-81.3897
330,"1106 N Main Ave, Erwin, TN 37650 USA",36.15785,-82.4028
331,"28261 Dressler Ct, Randolph, MN 55065 USA",44.5397,-93.0037
332,"950 SE Brick Dr, Waukee, IA 50263 USA",41.60312,-93.8507
333,"986 Kipuni Way, Kapaa, HI 96746 USA",22.06605,-159.32
334,"610 N 5th St, Rockport, IN 47635 USA",37.89059,-87.05
335,"1910 Jodeco Rd, Stockbridge, GA 30281 USA",33.48338,-84.2301
336,"301 Highway 70 E, Kingston, OK 73439 USA",33.99854,-96.7226
337,"110 Fikes Ferry Rd, Marion, AL 36756 USA",32.61991,-87.317
338,"1510 N Wood Ave, Florence, AL 35630 USA",34.82135,-87.6812
339,"1501 W Adams St, Iron River, MI 49935 USA",46.09196,-88.6489
340,"700 4th Ave, York, AL 36925 USA",32.48882,-88.2968
341,"8880 Monroe Rd, Durand, MI 48429 USA",42.92083,-83.9904
342,"1124 W Fremont Rd, Port Clinton, OH 43452 USA",41.50515,-82.9559
343,"233 N Sebastian, West Helena, AR 72390 USA",34.54729,-90.6458
344,"7078 State Route 415, Bath, NY 14810 USA",42.34421,-77.3384
345,"7145 Webster Road, Cowen, WV 26206 USA",38.40721,-80.5594
346,"4955 State Route 209, Elizabethville, PA 17023 USA",40.54847,-76.8147
347,"320 S Adams St, Manito, IL 61546 USA",40.42296,-89.7838
348,"7010 Highway 614, Hurley, MS 39555 USA",30.65291,-88.4898
349,"88 N Morey Rd, Lake City, MI 49651 USA",44.41881,-85.2175
350,"303 West Houghton, Prudenville, MI 48651 USA",44.29835,-84.652
351,"1324 W 3rd St, Alliance, NE 69301 USA",42.09726,-102.892
352,"1600 38th St, Rock Island, IL 61201 USA",41.49444,-90.548
353,"3401 Amnicola Hwy, Chattanooga, TN 37406 USA",35.08112,-85.2649
354,"2100 Highway 190 W, Deridder, LA 70634 USA",30.84766,-93.3141
355,"327 W 4th St, Ottumwa, IA 52501 USA",41.02204,-92.4132
356,"1519 West Highway 83, Rio Grande City, TX 78582 USA",26.37398,-98.8777
357,"2212 W 2nd St, Roswell, NM 88201 USA",33.39368,-104.556
358,"3787 Earl L Core Rd, Morgantown, WV 26508 USA",39.60728,-79.8924
359,"2400 Sunset Dr, El Reno, OK 73036 USA",35.53738,-97.9817
360,"6500 S State Road 67, Muncie, IN 47302 USA",39.99725,-85.7376
361,"1501 N Hervey St, Hope, AR 71801 USA",33.68013,-93.6048
362,"125 Butler St, Midway, GA 31320 USA",31.8014,-81.4182
